DIA;HORA;CHAMADAS QUE ENTRARAM NA FILA;TEMPO MÉDIO DE ATENDIMENTO;TEMPO MÉDIO DE CONVERSAÇÃO;TEMPO MÉDIO DE ESPERA EM FILA;TEMPO MÉDIO DE TABULAÇÃO;PROPORCAO
24;00:00:00;91;00:15:49;00:15:39;00:08:03;00:00:09;0,0433
24;01:00:00;64;00:10:42;00:10:27;00:07:52;00:00:15;0,0305
24;02:00:00;66;00:10:39;00:10:27;00:08:25;00:00:11;0,0314
24;03:00:00;44;00:17:01;00:16:40;00:09:39;00:00:21;0,0210
24;04:00:00;42;00:12:45;00:12:36;00:09:13;00:00:08;0,0200
24;05:00:00;39;00:09:28;00:09:17;00:08:37;00:00:11;0,0186
24;06:00:00;56;00:10:25;00:10:10;00:07:45;00:00:15;0,0267
24;07:00:00;63;00:07:01;00:06:46;00:05:00;00:00:14;0,0300
24;08:00:00;87;00:07:26;00:07:05;00:03:08;00:00:21;0,0414
24;09:00:00;106;00:07:08;00:06:50;00:04:43;00:00:18;0,0505
24;10:00:00;102;00:07:18;00:06:59;00:03:23;00:00:19;0,0486
24;11:00:00;121;00:08:21;00:08:02;00:04:03;00:00:19;0,0576
24;12:00:00;149;00:07:48;00:07:31;00:04:25;00:00:17;0,0710
24;13:00:00;141;00:08:48;00:08:29;00:04:31;00:00:19;0,0671
24;14:00:00;89;00:07:45;00:07:24;00:01:08;00:00:21;0,0424
24;15:00:00;84;00:09:19;00:08:59;00:03:10;00:00:19;0,0400
24;16:00:00;80;00:08:09;00:07:47;00:01:59;00:00:22;0,0381
24;17:00:00;85;00:07:27;00:07:06;00:01:39;00:00:21;0,0405
24;18:00:00;92;00:09:03;00:08:46;00:04:39;00:00:17;0,0438
24;19:00:00;115;00:10:07;00:09:46;00:07:30;00:00:21;0,0548
24;20:00:00;119;00:09:27;00:09:09;00:05:44;00:00:17;0,0567
24;21:00:00;95;00:07:58;00:07:35;00:03:05;00:00:22;0,0452
24;22:00:00;91;00:06:25;00:06:05;00:07:11;00:00:20;0,0433
24;23:00:00;79;00:09:56;00:09:37;00:06:21;00:00:19;0,0376
25;00:00:00;45;00:08:54;00:08:34;00:07:22;00:00:19;0,0076
25;01:00:00;41;00:09:54;00:09:30;00:07:57;00:00:24;0,0070
25;02:00:00;13;00:07:05;00:06:50;00:04:47;00:00:15;0,0022
25;03:00:00;18;00:16:26;00:16:16;00:06:24;00:00:10;0,0031
25;04:00:00;14;00:08:49;00:08:31;00:04:40;00:00:18;0,0024
25;05:00:00;13;00:11:06;00:10:50;00:07:03;00:00:15;0,0022
25;06:00:00;43;00:10:04;00:09:47;00:05:34;00:00:17;0,0073
25;07:00:00;132;00:08:12;00:07:55;00:02:54;00:00:17;0,0224
25;08:00:00;320;00:08:28;00:08:08;00:06:16;00:00:19;0,0543
25;09:00:00;509;00:09:16;00:08:56;00:06:33;00:00:20;0,0864
25;10:00:00;583;00:06:18;00:06:01;00:05:17;00:00:17;0,0989
25;11:00:00;538;00:06:44;00:06:26;00:05:13;00:00:17;0,0913
25;12:00:00;514;00:08:55;00:08:35;00:05:56;00:00:20;0,0872
25;13:00:00;508;00:08:16;00:07:56;00:05:14;00:00:20;0,0862
25;14:00:00;386;00:06:18;00:06:06;00:06:36;00:00:12;0,0655
25;15:00:00;486;00:09:30;00:09:10;00:04:18;00:00:20;0,0825
25;16:00:00;385;00:08:29;00:08:08;00:01:30;00:00:21;0,0653
25;17:00:00;260;00:07:18;00:07:00;00:02:19;00:00:17;0,0441
25;18:00:00;302;00:09:37;00:09:18;00:05:40;00:00:19;0,0512
25;19:00:00;258;00:09:42;00:09:20;00:06:28;00:00:22;0,0438
25;20:00:00;200;00:10:59;00:10:38;00:03:34;00:00:20;0,0339
25;21:00:00;166;00:09:56;00:09:34;00:03:34;00:00:21;0,0282
25;22:00:00;64;00:08:25;00:08:06;00:02:13;00:00:19;0,0109
25;23:00:00;95;00:06:01;00:05:47;00:05:57;00:00:14;0,0161
26;00:00:00;20;00:08:58;00:08:38;00:02:08;00:00:20;0,0039
26;01:00:00;4;00:08:32;00:08:14;00:00:25;00:00:18;0,0008
26;02:00:00;16;00:09:52;00:09:32;00:03:54;00:00:20;0,0031
26;03:00:00;0;00:06:07;00:05:47;00:00:00;00:00:20;0,0000
26;04:00:00;0;00:05:31;00:05:23;00:00:00;00:00:07;0,0000
26;05:00:00;0;00:09:21;00:09:03;00:00:00;00:00:17;0,0000
26;06:00:00;25;00:09:35;00:09:18;00:05:56;00:00:17;0,0048
26;07:00:00;143;00:06:22;00:05:58;00:04:45;00:00:23;0,0277
26;08:00:00;296;00:08:06;00:07:45;00:06:22;00:00:21;0,0572
26;09:00:00;424;00:08:06;00:07:46;00:04:41;00:00:20;0,0820
26;10:00:00;509;00:07:41;00:07:20;00:03:28;00:00:20;0,0984
26;11:00:00;499;00:08:48;00:08:27;00:05:28;00:00:20;0,0965
26;12:00:00;509;00:09:09;00:08:49;00:06:41;00:00:19;0,0984
26;13:00:00;466;00:09:04;00:08:42;00:05:04;00:00:21;0,0901
26;14:00:00;457;00:08:25;00:08:06;00:04:34;00:00:19;0,0884
26;15:00:00;432;00:08:18;00:07:59;00:05:44;00:00:18;0,0835
26;16:00:00;335;00:09:06;00:08:45;00:02:45;00:00:20;0,0648
26;17:00:00;235;00:09:16;00:08:55;00:00:55;00:00:21;0,0454
26;18:00:00;272;00:09:07;00:08:46;00:02:11;00:00:20;0,0526
26;19:00:00;197;00:08:43;00:08:22;00:02:09;00:00:21;0,0381
26;20:00:00;123;00:08:41;00:08:22;00:01:19;00:00:18;0,0238
