HORA;CHAMADAS QUE ENTRARAM NA FILA;TEMPO MÉDIO DE ATENDIMENTO;TEMPO MÉDIO DE CONVERSAÇÃO;TEMPO MÉDIO DE ESPERA EM FILA;TEMPO MÉDIO DE TABULAÇÃO;DIA;PROPORCAO
00:00:00;46;00:15:58;00:15:29;00:06:06;00:00:29;24;0,0456
01:00:00;26;00:06:36;00:06:19;00:04:13;00:00:16;24;0,0258
02:00:00;34;00:07:26;00:07:15;00:04:16;00:00:11;24;0,0337
03:00:00;15;00:20:52;00:20:21;00:07:44;00:00:30;24;0,0149
04:00:00;10;00:13:28;00:13:13;00:04:19;00:00:15;24;0,0099
05:00:00;7;00:12:23;00:12:07;00:02:15;00:00:16;24;0,0069
06:00:00;3;00:00:00;00:00:00;00:08:32;00:00:00;24;0,0030
07:00:00;8;00:08:44;00:08:35;00:02:29;00:00:08;24;0,0079
08:00:00;32;00:08:34;00:08:24;00:04:43;00:00:09;24;0,0317
09:00:00;33;00:07:17;00:07:05;00:03:56;00:00:11;24;0,0327
10:00:00;53;00:09:08;00:08:51;00:03:53;00:00:17;24;0,0526
11:00:00;74;00:10:40;00:10:21;00:04:48;00:00:19;24;0,0734
12:00:00;68;00:07:16;00:06:54;00:03:22;00:00:22;24;0,0675
13:00:00;85;00:07:34;00:07:17;00:03:56;00:00:17;24;0,0843
14:00:00;81;00:07:55;00:07:38;00:03:12;00:00:16;24;0,0804
15:00:00;28;00:09:19;00:09:01;00:02:10;00:00:17;24;0,0278
16:00:00;50;00:08:18;00:08:01;00:01:31;00:00:17;24;0,0496
17:00:00;55;00:07:26;00:07:07;00:02:44;00:00:19;24;0,0546
18:00:00;63;00:09:48;00:09:25;00:05:36;00:00:22;24;0,0625
19:00:00;68;00:07:24;00:07:06;00:02:32;00:00:18;24;0,0675
20:00:00;51;00:06:11;00:05:50;00:05:00;00:00:21;24;0,0506
21:00:00;56;00:07:23;00:07:01;00:04:21;00:00:21;24;0,0556
22:00:00;41;00:11:19;00:11:02;00:04:18;00:00:16;24;0,0407
23:00:00;21;00:08:40;00:08:20;00:03:31;00:00:19;24;0,0208
00:00:00;6;00:07:56;00:07:37;00:04:57;00:00:18;25;0,0055
01:00:00;6;00:10:32;00:10:09;00:02:23;00:00:22;25;0,0055
02:00:00;1;00:00:46;00:00:42;00:02:05;00:00:04;25;0,0009
03:00:00;0;00:05:11;00:04:51;00:00:00;00:00:20;25;0,0000
04:00:00;2;00:07:34;00:07:09;00:12:39;00:00:25;25;0,0018
05:00:00;1;00:03:31;00:03:11;00:00:00;00:00:20;25;0,0009
06:00:00;5;00:03:42;00:03:14;00:01:49;00:00:28;25;0,0045
07:00:00;0;00:06:58;00:06:41;00:00:00;00:00:16;25;0,0000
08:00:00;54;00:09:02;00:08:41;00:03:07;00:00:20;25;0,0491
09:00:00;61;00:06:40;00:06:21;00:02:25;00:00:18;25;0,0555
10:00:00;20;00:05:26;00:05:12;00:00:25;00:00:14;25;0,0182
11:00:00;27;00:06:59;00:06:43;00:01:18;00:00:15;25;0,0246
12:00:00;140;00:06:46;00:06:26;00:01:53;00:00:19;25;0,1274
13:00:00;101;00:07:36;00:07:18;00:01:22;00:00:17;25;0,0919
14:00:00;99;00:05:21;00:05:06;00:02:16;00:00:15;25;0,0901
15:00:00;33;00:07:35;00:07:18;00:00:34;00:00:16;25;0,0300
16:00:00;91;00:07:10;00:06:52;00:01:52;00:00:17;25;0,0828
17:00:00;111;00:06:53;00:06:40;00:03:35;00:00:13;25;0,1010
18:00:00;51;00:08:30;00:08:10;00:01:31;00:00:20;25;0,0464
19:00:00;120;00:09:18;00:09:01;00:02:46;00:00:16;25;0,1092
20:00:00;79;00:08:26;00:08:06;00:01:53;00:00:20;25;0,0719
21:00:00;35;00:08:00;00:07:42;00:02:16;00:00:17;25;0,0318
22:00:00;10;00:08:49;00:08:32;00:02:15;00:00:17;25;0,0091
23:00:00;46;00:05:42;00:05:30;00:03:58;00:00:11;25;0,0419
00:00:00;0;00:09:59;00:09:50;00:00:00;00:00:08;26;0,0000
01:00:00;0;00:09:21;00:09:13;00:00:00;00:00:08;26;0,0000
02:00:00;0;00:02:06;00:01:47;00:00:00;00:00:18;26;0,0000
03:00:00;0;00:00:00;00:00:00;00:00:00;00:00:00;26;0,0000
04:00:00;0;00:00:00;00:00:00;00:00:00;00:00:00;26;0,0000
05:00:00;0;00:03:15;00:03:02;00:00:00;00:00:12;26;0,0000
06:00:00;0;00:07:45;00:07:29;00:00:00;00:00:15;26;0,0000
07:00:00;6;00:07:22;00:07:03;00:03:11;00:00:19;26;0,0053
08:00:00;68;00:08:57;00:08:35;00:03:54;00:00:21;26;0,0605
09:00:00;131;00:06:57;00:06:37;00:03:01;00:00:20;26;0,1165
10:00:00;97;00:08:35;00:08:15;00:02:06;00:00:19;26;0,0863
11:00:00;79;00:07:01;00:06:40;00:02:06;00:00:21;26;0,0703
12:00:00;114;00:07:36;00:07:18;00:02:04;00:00:18;26;0,1014
13:00:00;21;00:06:21;00:06:04;00:00:37;00:00:17;26;0,0187
14:00:00;120;00:07:00;00:06:41;00:03:07;00:00:19;26;0,1068
15:00:00;105;00:07:34;00:07:16;00:02:58;00:00:18;26;0,0934
16:00:00;40;00:06:13;00:06:01;00:01:08;00:00:12;26;0,0356
17:00:00;39;00:07:52;00:07:36;00:01:33;00:00:15;26;0,0347
18:00:00;91;00:09:54;00:09:39;00:04:06;00:00:15;26;0,0810
19:00:00;95;00:07:13;00:06:56;00:03:08;00:00:16;26;0,0845
20:00:00;97;00:08:51;00:08:34;00:02:15;00:00:16;26;0,0863
21:00:00;8;00:06:57;00:06:44;00:00:04;00:00:13;26;0,0071
22:00:00;2;00:07:41;00:07:26;00:01:17;00:00:15;26;0,0018
23:00:00;11;00:07:03;00:06:49;00:00:48;00:00:14;26;0,0098
00:00:00;12;00:06:53;00:06:38;00:01:53;00:00:14;27;0,0164
01:00:00;8;00:07:33;00:07:17;00:01:27;00:00:15;27;0,0109
02:00:00;0;00:09:49;00:09:36;00:00:00;00:00:13;27;0,0000
03:00:00;0;00:07:42;00:07:29;00:00:00;00:00:12;27;0,0000
04:00:00;0;00:13:39;00:13:34;00:00:00;00:00:05;27;0,0000
05:00:00;0;00:04:22;00:04:02;00:00:00;00:00:20;27;0,0000
06:00:00;0;00:02:35;00:02:22;00:00:00;00:00:12;27;0,0000
07:00:00;30;00:08:29;00:08:12;00:03:28;00:00:16;27;0,0410
08:00:00;57;00:07:46;00:07:25;00:03:07;00:00:21;27;0,0779
09:00:00;141;00:06:29;00:06:08;00:03:35;00:00:20;27;0,1926
10:00:00;144;00:08:54;00:08:33;00:03:06;00:00:20;27;0,1967
11:00:00;78;00:08:18;00:08:00;00:02:02;00:00:18;27;0,1066
12:00:00;58;00:08:26;00:08:08;00:01:50;00:00:18;27;0,0792
13:00:00;15;00:07:48;00:07:29;00:00:10;00:00:19;27;0,0205
14:00:00;45;00:06:38;00:06:21;00:01:27;00:00:17;27;0,0615
15:00:00;0;00:05:21;00:05:03;00:00:00;00:00:18;27;0,0000
16:00:00;0;00:06:48;00:06:32;00:00:00;00:00:15;27;0,0000
17:00:00;0;00:08:01;00:07:46;00:00:00;00:00:15;27;0,0000
18:00:00;2;00:07:28;00:07:11;00:00:16;00:00:17;27;0,0027
19:00:00;0;00:08:20;00:08:03;00:00:00;00:00:17;27;0,0000
20:00:00;14;00:07:12;00:06:53;00:00:59;00:00:19;27;0,0191
21:00:00;72;00:07:41;00:07:23;00:02:08;00:00:18;27;0,0984
22:00:00;27;00:06:59;00:06:42;00:02:32;00:00:16;27;0,0369
23:00:00;29;00:07:27;00:07:11;00:01:51;00:00:15;27;0,0396
00:00:00;4;00:07:40;00:07:23;00:00:53;00:00:17;28;0,0025
01:00:00;0;00:04:59;00:04:39;00:00:00;00:00:19;28;0,0000
02:00:00;0;00:13:28;00:13:09;00:00:00;00:00:18;28;0,0000
03:00:00;0;00:06:33;00:06:21;00:00:00;00:00:11;28;0,0000
04:00:00;0;00:06:27;00:06:16;00:00:00;00:00:10;28;0,0000
05:00:00;0;00:02:44;00:02:29;00:00:00;00:00:14;28;0,0000
06:00:00;6;00:03:20;00:03:15;00:02:28;00:00:05;28;0,0037
07:00:00;31;00:07:01;00:06:44;00:02:15;00:00:16;28;0,0192
08:00:00;118;00:07:34;00:07:15;00:05:12;00:00:18;28;0,0730
09:00:00;159;00:08:35;00:08:15;00:03:48;00:00:20;28;0,0984
10:00:00;100;00:08:02;00:07:44;00:03:07;00:00:17;28;0,0619
11:00:00;97;00:06:55;00:06:36;00:02:03;00:00:18;28;0,0600
12:00:00;106;00:07:50;00:07:31;00:01:19;00:00:18;28;0,0656
13:00:00;143;00:08:00;00:07:42;00:01:39;00:00:17;28;0,0885
14:00:00;137;00:08:40;00:08:19;00:02:44;00:00:21;28;0,0848
15:00:00;46;00:08:24;00:08:05;00:01:31;00:00:18;28;0,0285
16:00:00;101;00:08:38;00:08:17;00:02:22;00:00:21;28;0,0625
